City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
246,Sigli,ID,2022-09-29 16:27:48,5.3848,95.9609,79.39,76,100,7.63
247,Sao Filipe,CV,2022-09-29 16:27:48,14.8961,-24.4956,81.52,76,7,8.37
248,Namibe,AO,2022-09-29 16:27:49,-15.1961,12.1522,68.45,82,42,8.32
249,East London,ZA,2022-09-29 16:27:49,-33.0153,27.9116,61.74,94,40,8.05
250,Umm Lajj,SA,2022-09-29 16:27:50,25.0213,37.2685,85.91,61,0,9.13
251,Sakakah,SA,2022-09-29 16:27:51,29.9697,40.2064,89.17,20,0,8.37
252,Georgetown,MY,2022-09-29 16:27:51,5.4112,100.3354,82.33,89,20,2.3
253,Ribeira Grande,PT,2022-09-29 16:27:52,38.5167,-28.7,73.8,56,20,9.22
254,Aykhal,RU,2022-09-29 16:27:53,66.0,111.5,16.88,96,99,6.15
255,Airai,TL,2022-09-29 16:27:54,-8.9266,125.4092,62.4,93,99,1.23
256,Torbay,CA,2022-09-29 16:27:54,47.6666,-52.7314,61.75,87,100,10.36
257,Nuoro,IT,2022-09-29 16:27:55,40.3211,9.3297,64.6,71,88,8.12
258,San Andres,CO,2022-09-29 16:26:58,12.5847,-81.7006,86.02,74,20,6.91
259,Mount Isa,AU,2022-09-29 16:26:43,-20.7333,139.5,56.97,72,1,5.75
260,Liku,ID,2022-09-29 16:27:57,-0.7275,119.8922,76.26,92,60,4.27
261,Paamiut,GL,2022-09-29 16:27:57,61.994,-49.6678,40.68,91,100,19.6
262,Meadow Lake,US,2022-09-29 16:27:58,34.8014,-106.5436,74.32,35,59,6.71
263,Senneterre,CA,2022-09-29 16:27:59,48.3835,-77.2328,47.53,49,52,6.91
264,Casillas,GT,2022-09-29 16:27:59,14.4222,-90.2442,76.42,70,77,3.6
265,Fuente Palmera,ES,2022-09-29 16:28:00,37.7049,-5.0996,76.15,40,69,12.91
266,Sorland,NO,2022-09-29 16:28:01,67.667,12.6934,51.66,70,12,5.95
267,Richards Bay,ZA,2022-09-29 16:28:02,-28.783,32.0377,80.46,53,0,12.88
268,Bulnes,CL,2022-09-29 16:28:02,-36.7423,-72.2985,52.56,62,0,3.09
269,Salalah,OM,2022-09-29 16:28:03,17.0151,54.0924,78.89,94,75,9.22
270,Sobolevo,RU,2022-09-29 16:28:04,54.4299,31.8996,54.91,70,90,13.18
271,Kolokani,ML,2022-09-29 16:28:05,13.5728,-8.0339,90.16,42,100,4.97
272,Nishihara,JP,2022-09-29 16:28:06,26.1842,127.7558,78.08,83,0,3.44
273,Araouane,ML,2022-09-29 16:29:07,18.9048,-3.5265,105.35,12,50,5.1
274,Salinas,US,2022-09-29 16:29:05,36.6777,-121.6555,66.43,89,100,9.22
275,Doka,SD,2022-09-29 16:29:08,13.5167,35.7667,79.92,74,47,7.58
276,Kangaatsiaq,GL,2022-09-29 16:29:09,68.3065,-53.4641,36.66,88,100,7.65
277,Sterling,US,2022-09-29 16:29:10,39.0062,-77.4286,67.51,58,40,11.99
278,Leningradskiy,RU,2022-09-29 16:29:10,69.3833,178.4167,17.11,80,17,6.2
279,Ochamchira,GE,2022-09-29 16:29:11,42.7121,41.4721,67.98,84,1,2.86
280,Itarantim,BR,2022-09-29 16:29:12,-15.6597,-40.0656,89.89,34,8,6.13
281,Hambantota,LK,2022-09-29 16:29:13,6.1241,81.1185,80.62,80,82,17.85
282,Borujerd,IR,2022-09-29 16:29:14,33.8973,48.7516,74.3,11,0,4.94
283,Qaqortoq,GL,2022-09-29 16:29:12,60.7167,-46.0333,42.31,91,100,6.24
284,Pochutla,MX,2022-09-29 16:29:15,15.7432,-96.4661,84.81,78,96,3.22
285,Geraldton,AU,2022-09-29 16:29:16,-28.7667,114.6,61.21,72,75,5.75
286,Dakar,SN,2022-09-29 16:25:13,14.6937,-17.4441,87.93,70,20,13.8
287,Bonthe,SL,2022-09-29 16:29:19,7.5264,-12.505,74.82,93,100,8.23
288,Mar Del Plata,AR,2022-09-29 16:26:59,-38.0023,-57.5575,62.62,71,0,11.5
289,Ilulissat,GL,2022-09-29 16:29:21,69.2167,-51.1,37.42,75,75,4.61
290,Souillac,MU,2022-09-29 16:29:26,-20.5167,57.5167,70.18,73,20,8.05
291,Hasaki,JP,2022-09-29 16:29:27,35.7333,140.8333,68.4,76,100,15.97
292,Ranong,TH,2022-09-29 16:29:28,9.9658,98.6348,78.31,89,99,11.92
